,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
3607255,4290335140,2016-08-17T00:00:00,1223.0,,,CA,201704.0,,JEEP,PA,BL,411 BOYLE AVE N,00635,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6495134.6,1838065.4
4097547,4297106774,2016-10-24T00:00:00,1232.0,,,CA,,,KIA,PA,BK,432 ALTAIR PLACE,138R1,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419726.612454,1818960.399974
6576528,4322291105,2017-12-20T00:00:00,1345.0,,,CA,201807.0,,HYUN,PA,SL,831 COMMONWEALTH AVE,00135,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419610.515243,1823729.804478
3260820,4271382905,2015-11-27T00:00:00,1006.0,,,CA,201604.0,,CHEV,PA,BL,11943 MONTANA AVE,00201,51.0,80.56E4+,RED ZONE,93.0,6419074.1,1841639.7
3386791,4268585720,2015-12-21T00:00:00,955.0,,,CA,201602.0,,PONT,PA,BN,14240 PAXTON ST,00322,53.0,80.73.2,EXCEED 72HRS-ST,68.0,99999.0,99999.0
4741404,4302743830,2017-02-09T00:00:00,1253.0,CB3582A,,CA,2.0,,AUDI,PA,BL,801 GRAND AVE S,00657,56.0,88.13B+,METER EXP.,63.0,6483531.854702,1839167.758882
7789100,4336075004,2018-07-06T00:00:00,837.0,,,CA,,,HYUN,PA,BK,214 ADAMS BLVD E,538H,55.0,80.56E4+,RED ZONE,93.0,6479543.157407,1831922.2394450002
7323056,4330171160,2018-04-20T00:00:00,1012.0,,,CA,201810.0,,TOYT,PA,PR,4401 LEXINGTON AVE,00445,54.0,5200,DISPLAY OF PLATES,25.0,6475512.252021,1856516.020357
1012591,1105588702,2016-06-05T00:00:00,912.0,,,CA,201607.0,,MITS,PA,WH,97TH ST/HICKORY ST,18A3,1.0,8056E4,RED ZONE,93.0,99999.0,99999.0
764948,4282243770,2016-05-03T00:00:00,1734.0,,,CA,3.0,,OTHR,CM,BN,100 SOUTH ALAMEDA STREET,00684,56.0,80.56E4+,RED ZONE,93.0,6489536.0,1840295.3
2511217,4263822544,2015-07-24T00:00:00,1405.0,OS102,,CA,201508.0,,HYUN,PA,WT,2200 COLBY AV,00111,51.0,88.13B+,METER EXP.,63.0,6426849.5,1835766.4
7130806,4328133180,2018-03-26T00:00:00,815.0,SC104,,CA,201707.0,,BMW,PA,SL,12265 VENTURA BL,330R1,53.0,88.13B+,METER EXP.,63.0,6440667.409380998,1874719.436426
3810224,4293838625,2016-09-22T00:00:00,1648.0,,,CA,,,CHEV,PA,BK,15224 DICKENS STREET,00309,53.0,80.69B,NO PARKING,73.0,6421100.0,1878133.1
6655813,4323397131,2017-12-14T00:00:00,2132.0,53,,OR,201808.0,,TOYT,PA,WT,714 NORTH DETROIT STREET,401B,54.0,80.58L,PREFERENTIAL PARKING,68.0,6457156.188201,1853026.383066
2466919,4263130443,2015-07-17T00:00:00,944.0,,,CA,201602.0,,BENT,PA,BK,1000 WELLESLEY AVE,00184,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
